"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verifies the FAQ section renders gracefully when no items are present — either an empty-state message or the heading is shown.","6406","FAQ with 0 items shows empty state","desktop","2026-03-18","failed","2026-03-18","FAQ — Edge Cases","FAQ — Edge Cases","",""
"Verifies the browser back button from the creation flow returns to the browse page.","1690","back navigation from creation flow returns to browse page","desktop","2026-03-18","passed","2026-03-18","Roundtables — Edge Cases","Roundtables — Edge Cases","",""
"Verifies that a sync status indicator (e.g. last sync time or sync badge) is shown on the attendees page.","6200","Sync status indicator is visible","mobile","2026-03-18","failed","2026-03-18","Phase 4 — Bizzabo Sync","Phase 4 — Bizzabo Sync","",""
"Verifies the first attendee row has visible, non-empty name text.","1297","first attendee row has a non-empty name cell","mobile","2026-03-18","passed","2026-03-18","Attendee List — Edge Cases","Attendee List — Edge Cases","",""
"Verifies time-slot buttons or cells have non-zero bounding boxes at 375px.","999","Time slot selection tappable on mobile","mobile","2026-03-18","passed","2026-03-18","Phase 6 — Mobile Interface","Phase 6 — Mobile Interface","",""
"Verifies no raw ""undefined"" value appears from missing data.","930","no ""undefined"" text visible on private meetings page","mobile","2026-03-18","passed","2026-03-18","Private Meetings — Edge Cases","Private Meetings — Edge Cases","",""
"Verifies the attendees page does not produce horizontal overflow at 375px viewport width.","752","Attendee list loads without horizontal scroll","desktop","2026-03-18","passed","2026-03-18","Phase 6 — Mobile Interface","Phase 6 — Mobile Interface","",""
"Verifies the opt-out toggle or checkbox in the attendee list has a non-zero bounding box on mobile.","856","Attendee opt-out toggle tappable on mobile","desktop","2026-03-18","passed","2026-03-18","Phase 6 — Mobile Interface","Phase 6 — Mobile Interface","",""
"Verifies the home page layout does not break in landscape mobile orientation (560x375).","1061","Landscape orientation layout holds at 560x375","desktop","2026-03-18","passed","2026-03-18","Phase 6 — Mobile Interface","Phase 6 — Mobile Interface","",""
"Verifies the invite / attendee picker list is accessible and scrollable at 375px.","835","Invite list scrollable on small screen","desktop","2026-03-18","passed","2026-03-18","Phase 6 — Mobile Interface","Phase 6 — Mobile Interface","",""
"Verifies clicking Cancel in the delete dialog closes it without removing the roundtable.","33257","cancel button in delete confirmation dialog closes without deleting","mobile","2026-03-18","passed","2026-03-18","Roundtables — Edge Cases","Roundtables — Edge Cases","",""
"Verifies the invite dialog dismisses on pressing Escape.","975","invite dialog closes with Escape key","desktop","2026-03-18","passed","2026-03-18","Private Meetings — Edge Cases","Private Meetings — Edge Cases","",""
"Verifies the attendee table uses semantic HTML roles (table/row/cell) that are consumable by assistive technologies.","1103","attendee list is accessible to screen reader roles after sync","desktop","2026-03-18","passed","2026-03-18","Bizzabo Sync — Edge Cases","Bizzabo Sync — Edge Cases","",""
"Verifies timezone text is visible on the private meetings page on mobile.","1034","6.7 Timezone is displayed on private meetings page on mobile","desktop","2026-03-18","passed","2026-03-18","Phase 6 — Mobile Interface","Phase 6 — Mobile Interface","",""
"Verifies the delete confirmation dialog contains explanatory text before confirming.","1049","delete confirmation dialog has a visible title or prompt","mobile","2026-03-18","passed","2026-03-18","Private Meetings — Edge Cases","Private Meetings — Edge Cases","",""
"Verifies the roundtables browse page contains a main content region for accessibility.","794","browse page has a main landmark or content region","desktop","2026-03-18","passed","2026-03-18","Roundtables — Edge Cases","Roundtables — Edge Cases","",""
"Verifies the Attendee List section is visible on the home page.","1005","1.1 Attendee List section is visible at the top of the app","mobile","2026-03-18","passed","2026-03-18","Phase 1 — Attendee List","Attendee List — Happy Path","",""
"Verifies that the invite dialog contains a search field for finding attendees.","959","invite search input is present inside the invite dialog","desktop","2026-03-18","passed","2026-03-18","Private Meetings — Edge Cases","Private Meetings — Edge Cases","",""
"Verifies that the host email is not shown in the invite dialog attendee list.","990","2.2 Host does not see their own email or name in the invite list","mobile","2026-03-18","passed","2026-03-18","Phase 2 — Private Meetings","Private Meetings — Happy Path","",""
"Verifies sorting does not add or remove rows from the attendee table.","987","attendee row count does not change after applying a sort","desktop","2026-03-18","passed","2026-03-18","Attendee List — Edge Cases","Attendee List — Edge Cases","",""
"Verifies the private meetings management page renders expected content.","951","private meetings management page loads without error","desktop","2026-03-18","passed","2026-03-18","Phase 2 — Private Meetings","Private Meetings — Happy Path","",""
"Verifies the cancel RSVP confirmation can be dismissed to preserve the RSVP.","1317","cancel RSVP confirmation dialog can be dismissed without cancelling","mobile","2026-03-18","passed","2026-03-18","Roundtables — Edge Cases","Roundtables — Edge Cases","",""
"Verifies the roundtables browse page has a browser tab title.","793","browse page document title is non-empty","desktop","2026-03-18","passed","2026-03-18","Roundtables — Edge Cases","Roundtables — Edge Cases","",""
"Verifies that a timezone label is shown on the roundtables browse page during time slot selection.","1052","3.2 Timezone is displayed when browsing and selecting time slots","desktop","2026-03-18","passed","2026-03-18","Phase 3 — Roundtables","Roundtables — Happy Path","",""
"Verifies that the attendee list contains more than one row, confirming sync has run.","1113","more than one attendee is shown in the list","desktop","2026-03-18","passed","2026-03-18","Phase 1 — Attendee List","Attendee List — Happy Path","",""
"Verifies clicking a roundtable card title opens a detail view or dialog on mobile.","1033","Roundtable detail page accessible on mobile","desktop","2026-03-18","passed","2026-03-18","Phase 6 — Mobile Interface","Phase 6 — Mobile Interface","",""
"Verifies the first attendee row has visible, non-empty name text.","1124","first attendee row has a non-empty name cell","desktop","2026-03-18","passed","2026-03-18","Attendee List — Edge Cases","Attendee List — Edge Cases","",""
"Verifies clicking a roundtable card opens its detail view.","1126","roundtable card is clickable and navigates to a detail view","desktop","2026-03-18","passed","2026-03-18","Roundtables — Edge Cases","Roundtables — Edge Cases","",""
"Verifies the first attendee row is visible and has a non-zero bounding box at 375px.","1036","Attendee profile row tappable on mobile","mobile","2026-03-18","passed","2026-03-18","Phase 6 — Mobile Interface","Phase 6 — Mobile Interface","",""
"Verifies the private meetings page renders content without a blank flash.","972","page does not flash or show blank content on load","mobile","2026-03-18","passed","2026-03-18","Private Meetings — Edge Cases","Private Meetings — Edge Cases","",""
"Verifies the first row has content in at least two columns (name + one more).","1251","first attendee row has at least two non-empty cells","mobile","2026-03-18","passed","2026-03-18","Attendee List — Edge Cases","Attendee List — Edge Cases","",""
"Verifies that a dialog triggered on mobile is horizontally centered within the 375px viewport.","1064","Modals and dialogs centered on mobile screen","mobile","2026-03-18","passed","2026-03-18","Phase 6 — Mobile Interface","Phase 6 — Mobile Interface","",""
"Verifies no email addresses appear in the invite dialog after searching for a name.","1022","no email in invite dialog after searching","mobile","2026-03-18","passed","2026-03-18","Private Meetings — Edge Cases","Private Meetings — Edge Cases","",""
"Verifies the attendee list page loads within timeout even when many attendees are present.","1630","sync with large attendee batch — page loads without timeout","mobile","2026-03-18","passed","2026-03-18","Bizzabo Sync — Edge Cases","Bizzabo Sync — Edge Cases","",""
"Verifies sorting by Job Title column leaves the table intact and email-free.","1015","sort by Job Title column does not break the table","desktop","2026-03-18","passed","2026-03-18","Attendee List — Edge Cases","Attendee List — Edge Cases","",""
"Verifies the FAQ section renders gracefully when no items are present — either an empty-state message or the heading is shown.","6248","FAQ with 0 items shows empty state","mobile","2026-03-18","failed","2026-03-18","FAQ — Edge Cases","FAQ — Edge Cases","",""
"Verifies the privacy toggle is an interactive element with an accessible role.","1345","opt-out toggle on profile page has accessible role","mobile","2026-03-18","failed","2026-03-18","Attendee List — Edge Cases","Attendee List — Edge Cases","",""
"Verifies the delete confirmation dialog can be dismissed via Escape at 375px viewport.","1149","Delete confirmation modal dismissible on mobile","mobile","2026-03-18","passed","2026-03-18","Phase 6 — Mobile Interface","Phase 6 — Mobile Interface","",""
"Verifies the browser back button from the creation flow returns to the browse page.","1559","back navigation from creation flow returns to browse page","mobile","2026-03-18","passed","2026-03-18","Roundtables — Edge Cases","Roundtables — Edge Cases","",""
"Verifies the table does not display raw ""undefined"" from missing data fields.","1087","no ""undefined"" text visible in attendee table","desktop","2026-03-18","passed","2026-03-18","Attendee List — Edge Cases","Attendee List — Edge Cases","",""
"Verifies that the browse page shows at least one roundtable card when data exists.","1152","browse page loads at least one roundtable card","desktop","2026-03-18","failed","2026-03-18","Phase 3 — Roundtables","Roundtables — Happy Path","",""
"Verifies that roundtable cards show a title.","1095","roundtable card title is non-empty","mobile","2026-03-18","passed","2026-03-18","Phase 3 — Roundtables","Roundtables — Happy Path","",""
"Verifies that clicking an attendee row navigates to a detail or profile page.","960","attendee rows are clickable and navigate to a detail view","mobile","2026-03-18","passed","2026-03-18","Phase 1 — Attendee List","Attendee List — Happy Path","",""
"Verifies that the Job Title column header is present, indicating the Bizzabo job title field is mapped.","1073","Bizzabo field mapping — job title field populated for synced attendee","desktop","2026-03-18","passed","2026-03-18","Bizzabo Sync — Edge Cases","Bizzabo Sync — Edge Cases","",""
"Verifies that when exactly 1 attendee exists after sync the list renders that entry.","1142","sync with 1 attendee shows list with at least one entry","desktop","2026-03-18","failed","2026-03-18","Bizzabo Sync — Edge Cases","Bizzabo Sync — Edge Cases","",""
"Verifies the invite dialog dismisses on pressing Escape.","974","invite dialog closes with Escape key","mobile","2026-03-18","passed","2026-03-18","Private Meetings — Edge Cases","Private Meetings — Edge Cases","",""
"Verifies that the first two buttons on the attendees page do not have overlapping bounding boxes at 375px.","1175","Touch targets do not overlap (button bounding boxes)","mobile","2026-03-18","failed","2026-03-18","Phase 6 — Mobile Interface","Phase 6 — Mobile Interface","",""
"Verifies the invite dialog search either returns attendee results or shows an empty state.","960","invite dialog search returns results or shows empty state","mobile","2026-03-18","passed","2026-03-18","Private Meetings — Edge Cases","Private Meetings — Edge Cases","",""
"Verifies the table has a header row with column headers.","1183","table header row is present","mobile","2026-03-18","failed","2026-03-18","Attendee List — Edge Cases","Attendee List — Edge Cases","",""
"Verifies that the sync button is visible and enabled for an authorized user on the attendees page.","6169","Sync button accessible to authorized user","desktop","2026-03-18","failed","2026-03-18","Phase 4 — Bizzabo Sync","Phase 4 — Bizzabo Sync","",""
"Verifies that clicking an expanded FAQ item again collapses it.","1148","FAQ item collapses on second click","desktop","2026-03-18","failed","2026-03-18","Phase 5 — FAQ","Phase 5 — FAQ","",""
"Verifies the timezone indicator includes a valid timezone format.","6322","meeting timezone shown with UTC offset or named timezone","mobile","2026-03-18","failed","2026-03-18","Private Meetings — Edge Cases","Private Meetings — Edge Cases","",""
"Verifies meeting rows show attendee names and never expose email addresses.","1031","meeting list rows show attendee names not emails","mobile","2026-03-18","passed","2026-03-18","Private Meetings — Edge Cases","Private Meetings — Edge Cases","",""
"Verifies the attendee list re-renders correctly after a page reload.","1419","attendees page remains functional after browser reload","mobile","2026-03-18","passed","2026-03-18","Phase 1 — Attendee List","Attendee List — Happy Path","",""
"Verifies the FAQ heading is within the initial viewport at 375px without needing to scroll.","1234","FAQ heading visible without scrolling","mobile","2026-03-18","failed","2026-03-18","Phase 6 — Mobile Interface","Phase 6 — Mobile Interface","",""
"Verifies that each attendee row shows an invitation status value.","977","1.6 Invitation status values are displayed per attendee row","desktop","2026-03-18","passed","2026-03-18","Phase 1 — Attendee List","Attendee List — Happy Path","",""
"Verifies meeting rows show attendee names and never expose email addresses.","1047","meeting list rows show attendee names not emails","desktop","2026-03-18","passed","2026-03-18","Private Meetings — Edge Cases","Private Meetings — Edge Cases","",""
"Verifies that clicking the Name sort column twice does not break the table UI.","1168","sort by Name can be toggled without breaking the table","mobile","2026-03-18","passed","2026-03-18","Phase 1 — Attendee List","Attendee List — Happy Path","",""
"Verifies that the send invite button is accessible when at least one meeting exists.","944","send invite button or CTA is accessible when meetings exist","desktop","2026-03-18","passed","2026-03-18","Phase 2 — Private Meetings","Private Meetings — Happy Path","",""
"Verifies that after the delete dialog is dismissed, the page remains interactive.","1105","after delete dialog closes the page is still functional","mobile","2026-03-18","passed","2026-03-18","Private Meetings — Edge Cases","Private Meetings — Edge Cases","",""
"Verifies that after the delete dialog is dismissed, the page remains interactive.","1230","after delete dialog closes the page is still functional","desktop","2026-03-18","passed","2026-03-18","Private Meetings — Edge Cases","Private Meetings — Edge Cases","",""
"Verifies the edit form shows the current title pre-filled in the title input.","33944","edit form shows existing title as pre-filled value","desktop","2026-03-18","passed","2026-03-18","Roundtables — Edge Cases","Roundtables — Edge Cases","",""
"Verifies no raw ""null"" from missing data appears on the browse page.","1073","no ""null"" text visible on roundtables browse page","desktop","2026-03-18","passed","2026-03-18","Roundtables — Edge Cases","Roundtables — Edge Cases","",""
"Verifies that synced attendees have a visible, non-empty name in the first row.","1160","Synced attendee has name visible","mobile","2026-03-18","passed","2026-03-18","Phase 4 — Bizzabo Sync","Phase 4 — Bizzabo Sync","",""
"Verifies that the FAQ heading is within the initial viewport on /faq — users should not need to scroll to find it.","1692","FAQ heading visible without scrolling on load (above the fold)","mobile","2026-03-18","failed","2026-03-18","FAQ — Edge Cases","FAQ — Edge Cases","",""
"Verifies the page has a meaningful document title in the browser tab.","880","private meetings page has a non-empty document title","desktop","2026-03-18","passed","2026-03-18","Phase 2 — Private Meetings","Private Meetings — Happy Path","",""
"Verifies that the host email is not exposed anywhere on the roundtable creation page.","891","3.6 Host does not see their own email in the roundtable creation flow","desktop","2026-03-18","passed","2026-03-18","Phase 3 — Roundtables","Roundtables — Happy Path","",""
"Verifies the roundtables browse page does not cause horizontal scrolling at mobile width.","767","no horizontal overflow at 375px on browse page","desktop","2026-03-18","passed","2026-03-18","Roundtables — Edge Cases","Roundtables — Edge Cases","",""
"Verifies that if a FAQ search input exists, typing a query filters the visible FAQ items; if absent, the FAQ heading is still present.","1011","search within FAQ filters results when feature exists","desktop","2026-03-18","passed","2026-03-18","FAQ — Edge Cases","FAQ — Edge Cases","",""
"Verifies a search or filter input is present on the attendees page.","939","search input is present on the attendees page","desktop","2026-03-18","passed","2026-03-18","Phase 1 — Attendee List","Attendee List — Happy Path","",""
"Verifies the FAQ page has a non-empty browser tab title.","1183","FAQ page title in document head","mobile","2026-03-18","failed","2026-03-18","Phase 5 — FAQ","Phase 5 — FAQ","",""
"Verifies that a participant can cancel their RSVP or seat for a roundtable.","1218","3.5 Participant can cancel their RSVP or seat","desktop","2026-03-18","passed","2026-03-18","Phase 3 — Roundtables","Roundtables — Happy Path","",""
"Verifies the page has a meaningful document title in the browser tab.","820","private meetings page has a non-empty document title","mobile","2026-03-18","passed","2026-03-18","Phase 2 — Private Meetings","Private Meetings — Happy Path","",""
"Verifies the Name column header is visible in the attendee table.","6149","Name column header is visible in attendee table","mobile","2026-03-18","failed","2026-03-18","Attendee List — Edge Cases","Attendee List — Edge Cases","",""
"Verifies the confirm button inside the delete dialog has a tappable bounding box at 375px.","842","Mobile: delete flow confirm button tappable","desktop","2026-03-18","passed","2026-03-18","Phase 6 — Mobile Interface","Phase 6 — Mobile Interface","",""
"Verifies FAQ answer text has a computed font size of at least 12px to avoid forced zoom on mobile.","1253","FAQ answers readable without zoom (font size check)","mobile","2026-03-18","passed","2026-03-18","Phase 6 — Mobile Interface","Phase 6 — Mobile Interface","",""
"Verifies the roundtables browse page does not cause horizontal scrolling at 375px.","1130","Roundtable browse page has no horizontal overflow","mobile","2026-03-18","passed","2026-03-18","Phase 6 — Mobile Interface","Phase 6 — Mobile Interface","",""
"Verifies accordion behavior: opening one FAQ item closes the previously opened one.","1186","Only one item open at a time (accordion behavior)","mobile","2026-03-18","failed","2026-03-18","Phase 5 — FAQ","Phase 5 — FAQ","",""
"Verifies that the send invite button is accessible when at least one meeting exists.","963","send invite button or CTA is accessible when meetings exist","mobile","2026-03-18","passed","2026-03-18","Phase 2 — Private Meetings","Private Meetings — Happy Path","",""
"Verifies clicking a roundtable card opens its detail view.","1103","roundtable card is clickable and navigates to a detail view","mobile","2026-03-18","passed","2026-03-18","Roundtables — Edge Cases","Roundtables — Edge Cases","",""
"Verifies the table does not display raw ""undefined"" from missing data fields.","996","no ""undefined"" text visible in attendee table","mobile","2026-03-18","passed","2026-03-18","Attendee List — Edge Cases","Attendee List — Edge Cases","",""
"Verifies that attendee fields (name/company) are populated and contain non-placeholder text after sync.","1198","attendee updated in Bizzabo — name or company field reflects updated data","desktop","2026-03-18","passed","2026-03-18","Bizzabo Sync — Edge Cases","Bizzabo Sync — Edge Cases","",""
"Verifies the FAQ page does not produce horizontal scroll at 375px viewport.","878","FAQ page has no horizontal overflow","mobile","2026-03-18","passed","2026-03-18","Phase 6 — Mobile Interface","Phase 6 — Mobile Interface","",""
"Verifies the table remains functional after clicking a sort column header rapidly.","1162","rapid sort clicks do not break the UI","mobile","2026-03-18","passed","2026-03-18","Attendee List — Edge Cases","Attendee List — Edge Cases","",""
"Verifies the RSVP button has a tappable bounding box at 375px viewport width.","942","RSVP button tappable on mobile","desktop","2026-03-18","passed","2026-03-18","Phase 6 — Mobile Interface","Phase 6 — Mobile Interface","",""
"Verifies clicking a roundtable card title opens a detail view or dialog on mobile.","1149","Roundtable detail page accessible on mobile","mobile","2026-03-18","passed","2026-03-18","Phase 6 — Mobile Interface","Phase 6 — Mobile Interface","",""
"Verifies the invite dialog exposes a close/cancel button for accessibility.","953","invite dialog has a close or cancel button","desktop","2026-03-18","passed","2026-03-18","Private Meetings — Edge Cases","Private Meetings — Edge Cases","",""
"Verifies sorting does not add or remove rows from the attendee table.","948","attendee row count does not change after applying a sort","mobile","2026-03-18","passed","2026-03-18","Attendee List — Edge Cases","Attendee List — Edge Cases","",""
"Verifies the private meetings manage page renders a list or relevant content at 375px.","993","Private meetings list scrollable on mobile","mobile","2026-03-18","passed","2026-03-18","Phase 6 — Mobile Interface","Phase 6 — Mobile Interface","",""
"Verifies the attendee list is visible at a narrow (375px) mobile viewport width.","1165","attendee list renders at 375px mobile viewport width","mobile","2026-03-18","passed","2026-03-18","Attendee List — Edge Cases","Attendee List — Edge Cases","",""
"Verifies the manage availability or time slots section is visible.","984","manage availability section is present on the page","mobile","2026-03-18","passed","2026-03-18","Phase 2 — Private Meetings","Private Meetings — Happy Path","",""
"Verifies the delete confirmation dialog can be dismissed without deleting the meeting.","963","delete confirmation dialog can be cancelled without deleting","mobile","2026-03-18","passed","2026-03-18","Phase 2 — Private Meetings","Private Meetings — Happy Path","",""
"Verifies that clicking an FAQ item expands its answer.","1181","FAQ item expands on click","mobile","2026-03-18","failed","2026-03-18","Phase 5 — FAQ","Phase 5 — FAQ","",""
"Verifies a count of attendees is shown on the attendees page.","1093","attendee count indicator is visible","desktop","2026-03-18","passed","2026-03-18","Phase 1 — Attendee List","Attendee List — Happy Path","",""
"Verifies the Job Title column header is visible in the attendee table.","1178","Job Title column header is visible in attendee table","mobile","2026-03-18","failed","2026-03-18","Attendee List — Edge Cases","Attendee List — Edge Cases","",""
"Verifies the delete confirmation dialog can be dismissed via Escape at 375px viewport.","1041","Delete confirmation modal dismissible on mobile","desktop","2026-03-18","passed","2026-03-18","Phase 6 — Mobile Interface","Phase 6 — Mobile Interface","",""
"Verifies that a host can open the edit form for a roundtable and that the title and description fields are editable.","33763","3.3 Host can edit roundtable title and description","desktop","2026-03-18","passed","2026-03-18","Phase 3 — Roundtables","Roundtables — Happy Path","",""
"Verifies invitation status cells contain only expected label values.","1155","invitation status column shows valid status label values","mobile","2026-03-18","passed","2026-03-18","Attendee List — Edge Cases","Attendee List — Edge Cases","",""
"Verifies that searching with special characters does not crash the page.","1183","search with special characters returns gracefully","desktop","2026-03-18","passed","2026-03-18","Attendee List — Edge Cases","Attendee List — Edge Cases","",""
"Verifies the page handles the case where no meetings exist gracefully.","1081","no meetings state shows expected messaging or empty UI","mobile","2026-03-18","passed","2026-03-18","Private Meetings — Edge Cases","Private Meetings — Edge Cases","",""
"Verifies at least one time slot card is visible and clickable in the creation wizard step 1.","1007","creation flow step 1 time slots are selectable","mobile","2026-03-18","failed","2026-03-18","Roundtables — Edge Cases","Roundtables — Edge Cases","",""
"Verifies only one edit form opens even if the edit button is clicked rapidly.","34189","rapidly clicking edit does not open multiple edit forms","desktop","2026-03-18","passed","2026-03-18","Roundtables — Edge Cases","Roundtables — Edge Cases","",""
"Verifies the FAQ accordion items can be tapped and expanded at 375px viewport.","1199","FAQ accordion tappable on mobile","desktop","2026-03-18","passed","2026-03-18","Phase 6 — Mobile Interface","Phase 6 — Mobile Interface","",""
"Verifies status column headers stay visible when search is active.","999","invitation status columns remain visible after searching","mobile","2026-03-18","passed","2026-03-18","Attendee List — Edge Cases","Attendee List — Edge Cases","",""
"Verifies the attendees page has a non-empty document title.","824","attendees page title is present in the document head","desktop","2026-03-18","passed","2026-03-18","Attendee List — Edge Cases","Attendee List — Edge Cases","",""
"Verifies the roundtables browse page does not cause horizontal scrolling at mobile width.","797","no horizontal overflow at 375px on browse page","mobile","2026-03-18","passed","2026-03-18","Roundtables — Edge Cases","Roundtables — Edge Cases","",""
"Verifies that navigating away and back to the FAQ page does not duplicate the FAQ heading.","1581","FAQ not duplicated on re-render after route change","desktop","2026-03-18","failed","2026-03-18","FAQ — Edge Cases","FAQ — Edge Cases","",""
"Verifies the privacy toggle to hide the user from attendee lists is present on the profile page.","1053","1.3 User can opt out of attendee list","mobile","2026-03-18","passed","2026-03-18","Phase 1 — Attendee List","Attendee List — Happy Path","",""
"Verifies the first attendee row is visible and has a non-zero bounding box at 375px.","1057","Attendee profile row tappable on mobile","desktop","2026-03-18","passed","2026-03-18","Phase 6 — Mobile Interface","Phase 6 — Mobile Interface","",""
"Verifies the home page does not cause horizontal scrolling at 375px mobile viewport.","912","No horizontal overflow on home page at 375px","desktop","2026-03-18","passed","2026-03-18","Phase 6 — Mobile Interface","Phase 6 — Mobile Interface","",""
"Verifies that FAQ accordion triggers have an appropriate ARIA role (button) and aria-expanded attribute for screen reader accessibility.","1190","FAQ item accessible by ARIA role","desktop","2026-03-18","failed","2026-03-18","FAQ — Edge Cases","FAQ — Edge Cases","",""
"Verifies that the sync trigger button is absent or hidden for non-admin roles, protecting against unauthorized sync.","1192","sync button is not visible to non-admin users","mobile","2026-03-18","passed","2026-03-18","Bizzabo Sync — Edge Cases","Bizzabo Sync — Edge Cases","",""
"Verifies that Roundtable Invite and Private Meeting Invite columns appear in the attendee table header.","1161","1.5 Invitation status columns are shown in the attendee table header","mobile","2026-03-18","passed","2026-03-18","Phase 1 — Attendee List","Attendee List — Happy Path","",""
"Verifies sorting by Company column leaves the table intact and email-free.","1062","sort by Company column does not break the table","mobile","2026-03-18","passed","2026-03-18","Attendee List — Edge Cases","Attendee List — Edge Cases","",""
"Verifies text inputs have a font size of at least 16px to prevent auto-zoom on iOS Safari.","1182","Font size readable without zoom (16px+ on inputs)","mobile","2026-03-18","failed","2026-03-18","Phase 6 — Mobile Interface","Phase 6 — Mobile Interface","",""
"Verifies that a sync history or log section is accessible when the feature is implemented.","1173","sync log or history is accessible if feature exists","mobile","2026-03-18","passed","2026-03-18","Bizzabo Sync — Edge Cases","Bizzabo Sync — Edge Cases","",""
"Verifies an RSVP button is accessible on at least one roundtable card.","1251","RSVP button is visible on an available roundtable card","mobile","2026-03-18","passed","2026-03-18","Phase 3 — Roundtables","Roundtables — Happy Path","",""
"Verifies searching lowercase and uppercase returns the same result count.","1020","search is case-insensitive","mobile","2026-03-18","passed","2026-03-18","Attendee List — Edge Cases","Attendee List — Edge Cases","",""
"Verifies the confirm button inside the delete dialog has a readable label.","1120","delete dialog confirm button has accessible name","mobile","2026-03-18","passed","2026-03-18","Private Meetings — Edge Cases","Private Meetings — Edge Cases","",""
"Verifies that a host can delete a private meeting and the confirmation dialog closes.","974","2.3 Host can delete a private meeting","desktop","2026-03-18","passed","2026-03-18","Phase 2 — Private Meetings","Private Meetings — Happy Path","",""
"Verifies individual roundtable cards do not display any email address.","1081","roundtable cards do not expose email in card text","mobile","2026-03-18","passed","2026-03-18","Roundtables — Edge Cases","Roundtables — Edge Cases","",""
