"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verifies timezone text is visible on the private meetings page on mobile.","1077","6.7 Timezone is displayed on private meetings page on mobile","desktop","2026-03-18","passed","2026-03-18","Phase 6 — Mobile Interface","Phase 6 — Mobile Interface","",""
"Verifies that a host can delete a private meeting and the confirmation dialog closes.","1027","2.3 Host can delete a private meeting","mobile","2026-03-18","passed","2026-03-18","Phase 2 — Private Meetings","Phase 2 — Private Meetings","",""
"Verifies the Attendee List section is visible on the home page.","1438","1.1 Attendee List section is visible at the top of the app","desktop","2026-03-18","passed","2026-03-18","Phase 1 — Attendee List","Phase 1 — Attendee List","",""
"Verifies that an attendee count indicator is displayed after Bizzabo sync runs.","1217","4.2 Attendee count is shown on the attendees page after sync","desktop","2026-03-18","passed","2026-03-18","Phase 4 — Bizzabo Integration","Phase 4 — Bizzabo Integration","",""
"Verifies that Roundtable Invite and Private Meeting Invite columns appear in the attendee table header.","1879","1.5 Invitation status columns are shown in the attendee table header","desktop","2026-03-18","passed","2026-03-18","Phase 1 — Attendee List","Phase 1 — Attendee List","",""
"Verifies that the host email is not exposed anywhere on the roundtable creation page.","1085","3.6 Host does not see their own email in the roundtable creation flow","mobile","2026-03-18","passed","2026-03-18","Phase 3 — Roundtables","Phase 3 — Roundtables","",""
"Verifies the privacy toggle to hide the user from attendee lists is present on the profile page.","1325","1.3 User can opt out of attendee list","desktop","2026-03-18","passed","2026-03-18","Phase 1 — Attendee List","Phase 1 — Attendee List","",""
"Verifies that a host can delete or cancel a roundtable and the confirmation dialog closes.","34341","3.4 Host can delete or cancel a roundtable","desktop","2026-03-18","passed","2026-03-18","Phase 3 — Roundtables","Phase 3 — Roundtables","",""
"Verifies that email addresses are hidden from the attendee list for privacy.","1381","1.2 Email addresses are NOT visible in the attendee list","desktop","2026-03-18","passed","2026-03-18","Phase 1 — Attendee List","Phase 1 — Attendee List","",""
"Verifies that Bizzabo registration sync has populated at least one attendee row.","1259","4.1 Bizzabo registration sync populates the attendee list","desktop","2026-03-18","passed","2026-03-18","Phase 4 — Bizzabo Integration","Phase 4 — Bizzabo Integration","",""
"Verifies attendee list is visible and email addresses are hidden on mobile.","1310","6.5 Attendee list is visible and hides email on mobile","desktop","2026-03-18","passed","2026-03-18","Phase 6 — Mobile Interface","Phase 6 — Mobile Interface","",""
"Verifies the roundtables browse page heading is visible on mobile.","1337","6.3 Roundtables page renders with content on mobile","desktop","2026-03-18","passed","2026-03-18","Phase 6 — Mobile Interface","Phase 6 — Mobile Interface","",""
"Verifies the Attendee List section is visible on the home page.","1494","1.1 Attendee List section is visible at the top of the app","mobile","2026-03-18","passed","2026-03-18","Phase 1 — Attendee List","Phase 1 — Attendee List","",""
"Verifies the roundtables browse page heading is visible on mobile.","1277","6.3 Roundtables page renders with content on mobile","mobile","2026-03-18","passed","2026-03-18","Phase 6 — Mobile Interface","Phase 6 — Mobile Interface","",""
"Verifies attendee list is visible and email addresses are hidden on mobile.","1317","6.5 Attendee list is visible and hides email on mobile","mobile","2026-03-18","passed","2026-03-18","Phase 6 — Mobile Interface","Phase 6 — Mobile Interface","",""
"Verifies that a host can open the edit form for a roundtable and that the title and description fields are editable.","33626","3.3 Host can edit roundtable title and description","mobile","2026-03-18","passed","2026-03-18","Phase 3 — Roundtables","Phase 3 — Roundtables","",""
"Verifies that a timezone label is shown on the roundtables browse page during time slot selection.","997","3.2 Timezone is displayed when browsing and selecting time slots","desktop","2026-03-18","passed","2026-03-18","Phase 3 — Roundtables","Phase 3 — Roundtables","",""
"Verifies that an attendee count indicator is displayed after Bizzabo sync runs.","1268","4.2 Attendee count is shown on the attendees page after sync","mobile","2026-03-18","passed","2026-03-18","Phase 4 — Bizzabo Integration","Phase 4 — Bizzabo Integration","",""
"Verifies that email addresses are hidden from the attendee list for privacy.","1365","1.2 Email addresses are NOT visible in the attendee list","mobile","2026-03-18","passed","2026-03-18","Phase 1 — Attendee List","Phase 1 — Attendee List","",""
"Verifies the privacy toggle to hide the user from attendee lists is present on the profile page.","1364","1.3 User can opt out of attendee list","mobile","2026-03-18","passed","2026-03-18","Phase 1 — Attendee List","Phase 1 — Attendee List","",""
"Verifies that a timezone label is shown on the roundtables browse page during time slot selection.","1136","3.2 Timezone is displayed when browsing and selecting time slots","mobile","2026-03-18","passed","2026-03-18","Phase 3 — Roundtables","Phase 3 — Roundtables","",""
"Verifies that a timezone label is shown on the private meetings management page.","1088","2.1 Timezone is displayed during time slot selection","desktop","2026-03-18","passed","2026-03-18","Phase 2 — Private Meetings","Phase 2 — Private Meetings","",""
"Verifies the FAQ heading is visible on the /faq route on mobile.","1284","6.4 FAQ page renders with content on mobile","desktop","2026-03-18","passed","2026-03-18","Phase 6 — Mobile Interface","Phase 6 — Mobile Interface","",""
"Verifies that the host email is not exposed anywhere on the roundtable creation page.","915","3.6 Host does not see their own email in the roundtable creation flow","desktop","2026-03-18","passed","2026-03-18","Phase 3 — Roundtables","Phase 3 — Roundtables","",""
"Verifies that the attendee list can be sorted by Name, Company, and Job Title.","2262","1.4 Attendee list can be sorted by Name, Company, and Job Title","desktop","2026-03-18","passed","2026-03-18","Phase 1 — Attendee List","Phase 1 — Attendee List","",""
"Verifies that navigation (hamburger menu on mobile, nav bar on desktop) is visible.","1140","6.1 All main navigation links are functional on mobile","desktop","2026-03-18","passed","2026-03-18","Phase 6 — Mobile Interface","Phase 6 — Mobile Interface","",""
"Verifies that Bizzabo registration sync has populated at least one attendee row.","1291","4.1 Bizzabo registration sync populates the attendee list","mobile","2026-03-18","passed","2026-03-18","Phase 4 — Bizzabo Integration","Phase 4 — Bizzabo Integration","",""
"Verifies a host can delete a private meeting on mobile with a tappable delete button.","1025","6.8 Host can delete a private meeting on mobile","mobile","2026-03-18","passed","2026-03-18","Phase 6 — Mobile Interface","Phase 6 — Mobile Interface","",""
"Verifies sort buttons are visible and have valid bounding boxes on mobile.","1675","6.6 Attendee list sort controls are tappable on mobile","desktop","2026-03-18","passed","2026-03-18","Phase 6 — Mobile Interface","Phase 6 — Mobile Interface","",""
"Verifies that a host can delete a private meeting and the confirmation dialog closes.","994","2.3 Host can delete a private meeting","desktop","2026-03-18","passed","2026-03-18","Phase 2 — Private Meetings","Phase 2 — Private Meetings","",""
